sentence_id_1,sentence_id_2,similarity,sentence_1,sentence_2
S01,S02,0.9765,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .
S10,S11,0.9624,"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .","The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems ."
S01,S12,0.9588,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S05,S06,0.9474,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .
S08,S13,0.9469,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ."
S09,S12,0.946,This will bring cost savings of about EUR 3mn a year .,"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S07,S13,0.9436,The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006 .,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ."
S02,S12,0.9423,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S08,S14,0.9403,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden ."
S07,S08,0.9372,The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006 .,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % ."
