,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15
S01,1.0,0.9765,0.8993,0.8661,0.8056,0.8224,0.9172,0.9346,0.9298,0.8228,0.7844,0.9588,0.9226,0.9078,0.8383
S02,0.9765,1.0,0.9075,0.8602,0.8074,0.8271,0.9123,0.9177,0.9313,0.8312,0.8239,0.9423,0.9209,0.9003,0.8592
S03,0.8993,0.9075,1.0,0.8287,0.8992,0.8942,0.9226,0.9352,0.8944,0.9205,0.901,0.8503,0.935,0.9305,0.904
S04,0.8661,0.8602,0.8287,1.0,0.8405,0.8394,0.8469,0.9109,0.8457,0.8779,0.8477,0.8631,0.8562,0.8353,0.8219
S05,0.8056,0.8074,0.8992,0.8405,1.0,0.9474,0.8795,0.9069,0.8542,0.9326,0.9093,0.8094,0.8808,0.8935,0.892
S06,0.8224,0.8271,0.8942,0.8394,0.9474,1.0,0.8897,0.8916,0.8515,0.9347,0.9371,0.8221,0.9032,0.8965,0.9206
S07,0.9172,0.9123,0.9226,0.8469,0.8795,0.8897,1.0,0.9372,0.8604,0.901,0.8713,0.8593,0.9436,0.9353,0.883
S08,0.9346,0.9177,0.9352,0.9109,0.9069,0.8916,0.9372,1.0,0.8894,0.9112,0.862,0.8877,0.9469,0.9403,0.8858
S09,0.9298,0.9313,0.8944,0.8457,0.8542,0.8515,0.8604,0.8894,1.0,0.829,0.8114,0.946,0.8905,0.8753,0.8545
S10,0.8228,0.8312,0.9205,0.8779,0.9326,0.9347,0.901,0.9112,0.829,1.0,0.9624,0.7983,0.9002,0.9064,0.9201
S11,0.7844,0.8239,0.901,0.8477,0.9093,0.9371,0.8713,0.862,0.8114,0.9624,1.0,0.779,0.8626,0.8678,0.9027
S12,0.9588,0.9423,0.8503,0.8631,0.8094,0.8221,0.8593,0.8877,0.946,0.7983,0.779,1.0,0.8911,0.8746,0.825
S13,0.9226,0.9209,0.935,0.8562,0.8808,0.9032,0.9436,0.9469,0.8905,0.9002,0.8626,0.8911,1.0,0.9338,0.9215
S14,0.9078,0.9003,0.9305,0.8353,0.8935,0.8965,0.9353,0.9403,0.8753,0.9064,0.8678,0.8746,0.9338,1.0,0.8981
S15,0.8383,0.8592,0.904,0.8219,0.892,0.9206,0.883,0.8858,0.8545,0.9201,0.9027,0.825,0.9215,0.8981,1.0
